Year,Raioane,Value
2010,,
2010,Mun. Chișinău,
2010,Nord,
2010,mun. Bălți,
2010,Briceni,
2010,Dondușeni,
2010,Drochia,
2010,Edineț,
2010,Fălești,
2010,Florești,
2010,Glodeni,
2010,Ocnița,
2010,Râșcani,
2010,Sângerei,
2010,Soroca,
2010,Centru,
2010,Anenii Noi,
2010,Călărași,
2010,Criuleni,
2010,Dubăsari,
2010,Hâncești,
2010,Ialoveni,
2010,Nisporeni,
2010,Orhei,
2010,Rezina,
2010,Strășeni,
2010,Șoldănești,
2010,Telenești,
2010,Ungheni,
2010,Sud,
2010,Basarabeasca,
2010,Cahul,
2010,Cantemir,
2010,Căușeni,
2010,Cimișlia,
2010,Leova,
2010,Ștefan Vodă,
2010,Taraclia,
2010,UTA Găgăuzia,
2011,,
2011,Mun. Chișinău,
2011,Nord,
2011,mun. Bălți,
2011,Briceni,
2011,Dondușeni,
2011,Drochia,
2011,Edineț,
2011,Fălești,
2011,Florești,
2011,Glodeni,
2011,Ocnița,
2011,Râșcani,
2011,Sângerei,
2011,Soroca,
2011,Centru,
2011,Anenii Noi,
2011,Călărași,
2011,Criuleni,
2011,Dubăsari,
2011,Hâncești,
2011,Ialoveni,
2011,Nisporeni,
2011,Orhei,
2011,Rezina,
2011,Strășeni,
2011,Șoldănești,
2011,Telenești,
2011,Ungheni,
2011,Sud,
2011,Basarabeasca,
2011,Cahul,
2011,Cantemir,
2011,Căușeni,
2011,Cimișlia,
2011,Leova,
2011,Ștefan Vodă,
2011,Taraclia,
2011,UTA Găgăuzia,
2012,,
2012,Mun. Chișinău,
2012,Nord,
2012,mun. Bălți,
2012,Briceni,
2012,Dondușeni,
2012,Drochia,
2012,Edineț,
2012,Fălești,
2012,Florești,
2012,Glodeni,
2012,Ocnița,
2012,Râșcani,
2012,Sângerei,
2012,Soroca,
2012,Centru,
2012,Anenii Noi,
2012,Călărași,
2012,Criuleni,
2012,Dubăsari,
2012,Hâncești,
2012,Ialoveni,
2012,Nisporeni,
2012,Orhei,
2012,Rezina,
2012,Strășeni,
2012,Șoldănești,
2012,Telenești,
2012,Ungheni,
2012,Sud,
2012,Basarabeasca,
2012,Cahul,
2012,Cantemir,
2012,Căușeni,
2012,Cimișlia,
2012,Leova,
2012,Ștefan Vodă,
2012,Taraclia,
2012,UTA Găgăuzia,
2013,,
2013,Mun. Chișinău,
2013,Nord,
2013,mun. Bălți,
2013,Briceni,
2013,Dondușeni,
2013,Drochia,
2013,Edineț,
2013,Fălești,
2013,Florești,
2013,Glodeni,
2013,Ocnița,
2013,Râșcani,
2013,Sângerei,
2013,Soroca,
2013,Centru,
2013,Anenii Noi,
2013,Călărași,
2013,Criuleni,
2013,Dubăsari,
2013,Hâncești,
2013,Ialoveni,
2013,Nisporeni,
2013,Orhei,
2013,Rezina,
2013,Strășeni,
2013,Șoldănești,
2013,Telenești,
2013,Ungheni,
2013,Sud,
2013,Basarabeasca,
2013,Cahul,
2013,Cantemir,
2013,Căușeni,
2013,Cimișlia,
2013,Leova,
2013,Ștefan Vodă,
2013,Taraclia,
2013,UTA Găgăuzia,
2014,,
2014,Mun. Chișinău,
2014,Nord,
2014,mun. Bălți,
2014,Briceni,
2014,Dondușeni,
2014,Drochia,
2014,Edineț,
2014,Fălești,
2014,Florești,
2014,Glodeni,
2014,Ocnița,
2014,Râșcani,
2014,Sângerei,
2014,Soroca,
2014,Centru,
2014,Anenii Noi,
2014,Călărași,
2014,Criuleni,
2014,Dubăsari,
2014,Hâncești,
2014,Ialoveni,
2014,Nisporeni,
2014,Orhei,
2014,Rezina,
2014,Strășeni,
2014,Șoldănești,
2014,Telenești,
2014,Ungheni,
2014,Sud,
2014,Basarabeasca,
2014,Cahul,
2014,Cantemir,
2014,Căușeni,
2014,Cimișlia,
2014,Leova,
2014,Ștefan Vodă,
2014,Taraclia,
2014,UTA Găgăuzia,
2015,,
2015,Mun. Chișinău,
2015,Nord,
