Year,Sex,Value
2010,,
2010,Bărbați,
2010,Femei,
2011,,
2011,Bărbați,
2011,Femei,
2012,,
2012,Bărbați,
2012,Femei,
2013,,
2013,Bărbați,
2013,Femei,
2014,,13.5
2014,Bărbați,23.0
2014,Femei,4.8
2015,,13.1
2015,Bărbați,22.4
2015,Femei,4.6
2016,,12.3
2016,Bărbați,19.5
2016,Femei,5.7
2017,,12.3
2017,Bărbați,21.1
2017,Femei,4.1
2018,,11.0
2018,Bărbați,17.8
2018,Femei,4.8
2019,,10.3
2019,Bărbați,17.1
2019,Femei,4.8
2020,,11.0
2020,Bărbați,17.9
2020,Femei,4.6
2021,,11.1
2021,Bărbați,18.0
2021,Femei,4.9
2022,,
2022,Bărbați,
2022,Femei,
