Year,Classes of disasters,Age group,Value
2010,,,
2010,Technogenic,,
2010,Natural  (by genres),,
2010,Social and biological,,
2010,Fires,,
2010,,0-17 years,
2010,,18 years and over,
2010,,,
2010,,,
2011,,,
2011,Technogenic,,
2011,Natural  (by genres),,
2011,Social and biological,,
2011,Fires,,
2011,,0-17 years,
2011,,18 years and over,
2011,,,
2011,,,
2012,,,
2012,Technogenic,,
2012,Natural  (by genres),,
2012,Social and biological,,
2012,Fires,,
2012,,0-17 years,
2012,,18 years and over,
2012,,,
2012,,,
2013,,,45.8
2013,Technogenic,,0.03
2013,Natural  (by genres),,9.9
2013,Social and biological,,3.7
2013,Fires,,32.2
2013,,0-17 years,2.3
2013,,18 years and over,43.5
2013,,,
2013,,,
2014,,,94.01
2014,Technogenic,,0.14
2014,Natural  (by genres),,42.8
2014,Social and biological,,14.9
2014,Fires,,36.2
2014,,0-17 years,5.5
2014,,18 years and over,88.5
2014,,,
2014,,,
2015,,,30.4
2015,Technogenic,,0.4
2015,Natural  (by genres),,0
2015,Social and biological,,4.2
2015,Fires,,25.9
2015,,0-17 years,2.08
2015,,18 years and over,28.3
2015,,,
2015,,,
2016,,,57.4
2016,Technogenic,,0.3
2016,Natural  (by genres),,23.1
2016,Social and biological,,11.04
2016,Fires,,22.9
2016,,0-17 years,6.3
2016,,18 years and over,51.1
2016,,,
2016,,,
2017,,,65.9
2017,Technogenic,,0
2017,Natural  (by genres),,50.6
2017,Social and biological,,1.7
2017,Fires,,13.7
2017,,0-17 years,6.2
2017,,18 years and over,60
2017,,,
2017,,,
2018,,,36.5
2018,Technogenic,,0.6
2018,Natural  (by genres),,6.7
2018,Social and biological,,8.5
2018,Fires,,20.9
2018,,0-17 years,4.7
2018,,18 years and over,32
2018,,,
2018,,,
2019,,,25.2
2019,Technogenic,,2
2019,Natural  (by genres),,0
2019,Social and biological,,4.6
2019,Fires,,18.6
2019,,0-17 years,0.7
2019,,18 years and over,24.5
2019,,,
2019,,,
2020,,,14.5
2020,Technogenic,,0.2
2020,Natural  (by genres),,0
2020,Social and biological,,1.6
2020,Fires,,12.7
2020,,0-17 years,7.9
2020,,18 years and over,16.4
2020,,,
2020,,,
2021,,,22.7
2021,Technogenic,,1.6
2021,Natural  (by genres),,0
2021,Social and biological,,8.1
2021,Fires,,13
2021,,0-17 years,9.9
2021,,18 years and over,26.2
2021,,,
2021,,,
2022,,,12.1
2022,Technogenic,,0.2
2022,Natural  (by genres),,0
2022,Social and biological,,0
2022,Fires,,11.9
2022,,0-17 years,0
2022,,18 years and over,15.5
2022,,,
2022,,,
2023,,,30.8
2023,Technogenic,,0.5
2023,Natural  (by genres),,14.1
2023,Social and biological,,1.2
2023,Fires,,15
2023,,0-17 years,8.9
2023,,18 years and over,39.8
2023,,,
2023,,,
2024,,,22.6
2024,Technogenic,,0.5
2024,Natural  (by genres),,0
2024,Social and biological,,0.1
2024,Fires,,21.1
2024,,0-17 years,1.3
2024,,18 years and over,21.3
2024,,,
2024,,,
2025,,,18.73
2025,Technogenic,,2.2
2025,Natural  (by genres),,0
2025,Social and biological,,0
2025,Fires,,16.6
2025,,0-17 years,2.43
2025,,18 years and over,23
2025,,,
2025,,,
