Year,Children engaged in economic activity - Age group / Sex,Children engaged in economic activity and household chores - Age group / Sex ,Value
2009,,,
2009,5-17 / Both sexes,,
2009,5-17 / Men,,
2009,5-17 / Women,,
2009,5-11 / Both sexes,,
2009,5-11 / Men,,
2009,5-11 / Women,,
2009,12-14 / Both sexes,,
2009,12-14 / Men,,
2009,12-14 / Women,,
2009,15-17 / Both sexes,,
2009,15-17 / Men,,
2009,15-17 / Women,,
2009,,5-17 / Both sexes,
2009,,5-17 / Men,
2009,,5-17 / Women,
2009,,5-11 / Both sexes,
2009,,5-11 / Men,
2009,,5-11 / Women,
2009,,12-14 / Both sexes,
2009,,12-14 / Men,
2009,,12-14 / Women,
2009,,15-17 / Both sexes,
2009,,15-17 / Men,
2009,,15-17 / Women,
2010,,,
2010,5-17 / Both sexes,,
2010,5-17 / Men,,
2010,5-17 / Women,,
2010,5-11 / Both sexes,,
2010,5-11 / Men,,
2010,5-11 / Women,,
2010,12-14 / Both sexes,,
2010,12-14 / Men,,
2010,12-14 / Women,,
2010,15-17 / Both sexes,,
2010,15-17 / Men,,
2010,15-17 / Women,,
2010,,5-17 / Both sexes,
2010,,5-17 / Men,
2010,,5-17 / Women,
2010,,5-11 / Both sexes,
2010,,5-11 / Men,
2010,,5-11 / Women,
2010,,12-14 / Both sexes,
2010,,12-14 / Men,
2010,,12-14 / Women,
2010,,15-17 / Both sexes,
2010,,15-17 / Men,
2010,,15-17 / Women,
2011,,,
2011,5-17 / Both sexes,,
2011,5-17 / Men,,
2011,5-17 / Women,,
2011,5-11 / Both sexes,,
2011,5-11 / Men,,
2011,5-11 / Women,,
2011,12-14 / Both sexes,,
2011,12-14 / Men,,
2011,12-14 / Women,,
2011,15-17 / Both sexes,,
2011,15-17 / Men,,
2011,15-17 / Women,,
2011,,5-17 / Both sexes,
2011,,5-17 / Men,
2011,,5-17 / Women,
2011,,5-11 / Both sexes,
2011,,5-11 / Men,
2011,,5-11 / Women,
2011,,12-14 / Both sexes,
2011,,12-14 / Men,
2011,,12-14 / Women,
2011,,15-17 / Both sexes,
2011,,15-17 / Men,
2011,,15-17 / Women,
2012,,,
2012,5-17 / Both sexes,,
2012,5-17 / Men,,
2012,5-17 / Women,,
2012,5-11 / Both sexes,,
2012,5-11 / Men,,
2012,5-11 / Women,,
2012,12-14 / Both sexes,,
2012,12-14 / Men,,
2012,12-14 / Women,,
2012,15-17 / Both sexes,,
2012,15-17 / Men,,
2012,15-17 / Women,,
2012,,5-17 / Both sexes,
2012,,5-17 / Men,
2012,,5-17 / Women,
2012,,5-11 / Both sexes,
2012,,5-11 / Men,
2012,,5-11 / Women,
2012,,12-14 / Both sexes,
2012,,12-14 / Men,
2012,,12-14 / Women,
2012,,15-17 / Both sexes,
2012,,15-17 / Men,
2012,,15-17 / Women,
2013,,,
2013,5-17 / Both sexes,,
2013,5-17 / Men,,
2013,5-17 / Women,,
2013,5-11 / Both sexes,,
2013,5-11 / Men,,
2013,5-11 / Women,,
2013,12-14 / Both sexes,,
2013,12-14 / Men,,
2013,12-14 / Women,,
2013,15-17 / Both sexes,,
2013,15-17 / Men,,
2013,15-17 / Women,,
2013,,5-17 / Both sexes,
2013,,5-17 / Men,
2013,,5-17 / Women,
2013,,5-11 / Both sexes,
2013,,5-11 / Men,
2013,,5-11 / Women,
2013,,12-14 / Both sexes,
2013,,12-14 / Men,
2013,,12-14 / Women,
2013,,15-17 / Both sexes,
2013,,15-17 / Men,
2013,,15-17 / Women,
2014,,,
2014,5-17 / Both sexes,,
2014,5-17 / Men,,
2014,5-17 / Women,,
2014,5-11 / Both sexes,,
2014,5-11 / Men,,
2014,5-11 / Women,,
2014,12-14 / Both sexes,,
2014,12-14 / Men,,
2014,12-14 / Women,,
2014,15-17 / Both sexes,,
2014,15-17 / Men,,
2014,15-17 / Women,,
2014,,5-17 / Both sexes,
2014,,5-17 / Men,
2014,,5-17 / Women,
2014,,5-11 / Both sexes,
2014,,5-11 / Men,
2014,,5-11 / Women,
2014,,12-14 / Both sexes,
2014,,12-14 / Men,
2014,,12-14 / Women,
2014,,15-17 / Both sexes,
2014,,15-17 / Men,
2014,,15-17 / Women,
2015,,,
2015,5-17 / Both sexes,,
2015,5-17 / Men,,
2015,5-17 / Women,,
2015,5-11 / Both sexes,,
2015,5-11 / Men,,
2015,5-11 / Women,,
2015,12-14 / Both sexes,,
2015,12-14 / Men,,
2015,12-14 / Women,,
2015,15-17 / Both sexes,,
2015,15-17 / Men,,
2015,15-17 / Women,,
2015,,5-17 / Both sexes,
2015,,5-17 / Men,
2015,,5-17 / Women,
2015,,5-11 / Both sexes,
2015,,5-11 / Men,
2015,,5-11 / Women,
2015,,12-14 / Both sexes,
2015,,12-14 / Men,
2015,,12-14 / Women,
2015,,15-17 / Both sexes,
2015,,15-17 / Men,
2015,,15-17 / Women,
2016,,,
2016,5-17 / Both sexes,,
2016,5-17 / Men,,
2016,5-17 / Women,,
2016,5-11 / Both sexes,,
2016,5-11 / Men,,
2016,5-11 / Women,,
2016,12-14 / Both sexes,,
2016,12-14 / Men,,
2016,12-14 / Women,,
2016,15-17 / Both sexes,,
2016,15-17 / Men,,
2016,15-17 / Women,,
2016,,5-17 / Both sexes,
2016,,5-17 / Men,
2016,,5-17 / Women,
2016,,5-11 / Both sexes,
2016,,5-11 / Men,
2016,,5-11 / Women,
2016,,12-14 / Both sexes,
2016,,12-14 / Men,
2016,,12-14 / Women,
2016,,15-17 / Both sexes,
2016,,15-17 / Men,
2016,,15-17 / Women,
2017,,,
2017,5-17 / Both sexes,,
2017,5-17 / Men,,
2017,5-17 / Women,,
2017,5-11 / Both sexes,,
2017,5-11 / Men,,
2017,5-11 / Women,,
2017,12-14 / Both sexes,,
2017,12-14 / Men,,
2017,12-14 / Women,,
2017,15-17 / Both sexes,,
2017,15-17 / Men,,
2017,15-17 / Women,,
2017,,5-17 / Both sexes,
2017,,5-17 / Men,
2017,,5-17 / Women,
2017,,5-11 / Both sexes,
2017,,5-11 / Men,
2017,,5-11 / Women,
2017,,12-14 / Both sexes,
2017,,12-14 / Men,
2017,,12-14 / Women,
2017,,15-17 / Both sexes,
2017,,15-17 / Men,
2017,,15-17 / Women,
2018,,,
2018,5-17 / Both sexes,,
2018,5-17 / Men,,
2018,5-17 / Women,,
2018,5-11 / Both sexes,,
2018,5-11 / Men,,
2018,5-11 / Women,,
2018,12-14 / Both sexes,,
2018,12-14 / Men,,
2018,12-14 / Women,,
2018,15-17 / Both sexes,,
2018,15-17 / Men,,
2018,15-17 / Women,,
